名称,市場,33業種区分,17業種区分,売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),時価総額(百万円),自己資本比率,ROE,ROA,発行済株式数
やまみ,東証JQS,食料品,食品 ,9793,942,940,630,8716,4097,696,2970,10980,47,16.32,7.18,6376100
イワブチ,東証JQS,金属製品,建設・資材 ,9811,592,650,439,19344,15554,1496,875,6468,80.4,2.85,2.31,1100000
櫻護謨,東証2部,ゴム製品,自動車・輸送機 ,9811,945,910,566,13025,5918,506,3259,5819,45.4,10.04,4.37,10120000
バルニバービ,マザーズ,小売業,小売 ,9824,605,623,383,6286,2223,402,2317,11339,35.4,18.66,6.62,4185800
ピエトロ,東証1部,食料品,食品 ,9825,496,474,469,9619,5287,1042,2138,10318,55,10.31,5.22,6257230
ネットマーケティング,東証JQS,サービス業,情報通信・サービスその他 ,9868,441,423,296,3908,1613,366,327,10143,41.3,24.04,8.78,7010000
YKT,東証JQS,卸売業,商社・卸売 ,9870,410,463,274,8282,5645,1389,942,2286,68.2,4.95,3.15,11906880
エフオン,東証1部,電気・ガス業,電力・ガス ,9920,2572,2305,2004,22414,9415,2164,8684,24755,42,23.86,9.05,17758110
学究社,東証1部,サービス業,情報通信・サービスその他 ,9924,1494,1512,977,5161,2782,806,199,16974,53.9,36.16,19.01,11101192
ラピーヌ,東証2部,繊維製品,素材・化学 ,9939,-984,-1015,-1665,9127,5299,4354,2046,2192,58.1,-27.25,-16.94,2767064
クリエートメディック,東証1部,精密機器,電機・精密 ,10003,754,821,516,17611,12603,1461,1923,9887,71.6,4.01,2.97,9664327
サムシングホールディングス,東証JQG,建設業,建設・資材 ,10006,90,77,11,5539,1262,484,1922,1975,22.8,0.99,0.2,4114200
ヤマシンフィルタ,東証1部,機械,機械 ,10007,957,934,640,10158,6652,822,1250,50312,65.5,9.96,6.5,12438000
日本色材工業研究所,東証JQS,化学,素材・化学 ,10007,799,721,532,10139,2685,714,4412,5952,26.5,23.6,5.56,1049688
放電精密加工研究所,東証JQS,機械,機械 ,10067,381,400,237,15140,6941,889,4417,7852,45.8,3.49,1.57,7407800
コンセック,東証JQS,卸売業,商社・卸売 ,10092,101,157,83,11542,7536,4090,1056,4436,65.3,1.1,0.72,18640112
カッシーナ・イクスシー,東証JQS,卸売業,商社・卸売 ,10107,465,466,43,8366,4035,100,2148,3825,48.2,1.06,0.54,4091100
グローバルグループ,マザーズ,サービス業,情報通信・サービスその他 ,10113,340,2000,1358,11914,5242,1250,3702,16012,44,25.91,11.4,8512560
日本タングステン,東証2部,電気機器,電機・精密 ,10124,473,575,469,14836,8935,2509,2891,7063,60.2,5.34,3.17,25777600
クロスキャット,東証JQS,情報・通信業,情報通信・サービスその他 ,10153,554,576,417,5033,2841,459,500,6761,56.4,16.06,8.53,9210960
ステップ,東証1部,サービス業,情報通信・サービスその他 ,10176,2451,2485,1669,19491,16512,1778,1524,25022,84.7,10.45,8.78,16670000
杉村倉庫,東証2部,倉庫・運輸関連業,運輸・物流 ,10190,1102,1049,784,24904,10794,2551,11454,9965,43.3,7.42,3.45,16046310
くろがね工作所,東証2部,その他製品,情報通信・サービスその他 ,10196,233,189,157,11081,4441,2998,3231,2756,40.1,3.58,1.41,1857113
旭情報サービス,東証2部,情報・通信業,情報通信・サービスその他 ,10225,831,840,603,9006,7085,733,230,8372,78.7,8.75,6.88,8264850
エイアンドティー,東証JQS,電気機器,電機・精密 ,10234,1015,1004,651,10110,6222,577,1680,5663,61.5,10.91,6.53,6257900
コーセーアールイー,東証2部,不動産業,不動産 ,10245,1104,1094,677,12667,2984,338,7873,11096,23.6,25.12,5.84,8368000
デジタル・インフォメーション・テクノロジー,東証1部,情報・通信業,情報通信・サービスその他 ,10273,653,641,466,3713,2414,453,36,16029,65,21.32,13.43,7750910
ハブ,東証2部,小売業,小売 ,10274,763,764,496,5114,3467,631,262,11479,67.8,15.15,9.68,11265300
スターティア,東証1部,卸売業,商社・卸売 ,10282,265,285,5,5894,3970,824,546,6482,67.4,0.12,0.08,10240400
美濃窯業,名証2部,ガラス・土石製品,建設・資材 ,10285,718,772,524,14247,7167,877,1820,4415,50.3,7.62,3.78,12909828
昭文社,東証1部,情報・通信業,情報通信・サービスその他 ,10314,-2276,-2206,-3423,24550,19569,10141,770,13597,79.7,-16.44,-13.01,18178173
パウダーテック,東証JQS,鉄鋼,鉄鋼・非鉄 ,10337,1694,1679,1134,12840,9442,1557,300,13217,73.5,12.62,9.15,14850000
イクヨ,東証2部,輸送用機器,自動車・輸送機 ,10341,497,512,346,10154,3956,2298,2356,2539,39,9.57,3.56,15385000
極東証券,東証1部,証券、商品先物取引業,金融（除く銀行） ,10341,4244,4735,4688,72263,45627,5251,13350,38283,63.1,10.58,6.04,32779000
オールアバウト,東証JQS,サービス業,情報通信・サービスその他 ,10372,556,538,232,5045,3647,1199,21,22046,72.3,6.55,4.92,13533700
IMV,東証JQS,精密機器,電機・精密 ,10374,1080,954,583,11649,5072,464,2940,12735,43.5,12.13,5.15,16957016
有機合成薬品工業,東証1部,化学,素材・化学 ,10396,454,411,355,19474,10916,3471,4057,6394,56.1,3.31,1.9,21974000
フルテック,東証2部,サービス業,情報通信・サービスその他 ,10420,587,658,334,9359,5352,329,226,5937,57.2,6.8,3.75,5367800
愛光電気,東証JQS,卸売業,商社・卸売 ,10429,266,269,102,5771,2137,611,1800,1293,37,4.86,1.71,882200
藍澤證券,東証1部,証券、商品先物取引業,金融（除く銀行） ,10461,-278,600,1090,96761,53882,8000,5095,34833,55.7,2,1.23,49525649
日本コンセプト,東証1部,倉庫・運輸関連業,運輸・物流 ,10494,1716,1583,1079,14819,7042,600,4599,15927,47.5,16.11,7.24,13098000
重松製作所,東証JQS,その他製品,情報通信・サービスその他 ,10509,64,68,98,11275,4622,570,2661,5537,41,2.15,0.86,7200000
アバント,東証JQG,情報・通信業,情報通信・サービスその他 ,10532,1306,1308,663,7325,3873,288,28,17349,52.9,18.46,9.45,9388000
石井食品,東証2部,食料品,食品 ,10538,-38,-32,-65,8293,3620,919,2630,3752,43.7,-1.79,-0.81,18392000
ティア,東証1部,サービス業,情報通信・サービスその他 ,10594,1094,1072,712,10069,5561,1159,2676,17505,55.2,13.52,7.05,20167200
ジャパンシステム,東証JQS,情報・通信業,情報通信・サービスその他 ,10598,358,374,221,6217,4543,1302,150,11880,73.1,4.96,3.69,26051832
アトミクス,東証JQS,化学,素材・化学 ,10628,533,527,763,14350,9323,1040,946,7459,65,8.52,5.34,7242000
タカチホ,東証JQS,卸売業,商社・卸売 ,10640,248,216,134,5840,1674,1000,2798,1280,28.7,8.35,2.16,7275000
スカラ,東証1部,情報・通信業,情報通信・サービスその他 ,10663,3736,3728,2987,14941,5905,1576,4767,13634,39.5,60.85,24.31,16852859
桂川電機,東証JQS,機械,機械 ,10694,-993,-1182,-1056,12390,8210,4651,731,2251,66.3,-11.97,-8.29,15525000
ディア・ライフ,東証1部,不動産業,不動産 ,10697,1622,1549,1018,13790,5251,1008,7375,17027,38.1,20.14,8.31,33255200
京都ホテル,東証2部,サービス業,情報通信・サービスその他 ,10707,613,339,261,18698,2041,1268,13927,8585,10.9,13.54,1.39,11091400
東京楽天地,東証1部,不動産業,不動産 ,10759,1461,1463,821,42306,29027,3046,5680,36072,68.6,2.86,1.91,6511218
日本ユピカ,東証JQS,化学,素材・化学 ,10773,749,713,512,12941,8210,1100,84,3218,63.4,6.41,3.99,5500000
東和フードサービス,東証JQS,小売業,小売 ,10787,533,553,187,7062,4737,673,423,12423,67.1,3.97,2.64,4093200
わかもと製薬,東証1部,医薬品,医薬品 ,10830,87,102,94,17888,13896,3395,460,9859,77.7,0.68,0.52,34838325
テクノスマート,東証2部,機械,機械 ,10837,1008,1032,692,18364,10923,1003,841,20475,59.5,6.56,4.05,10821720
NCホールディングス,東証1部,機械,機械 ,10880,187,235,-122,12452,7309,3800,170,5300,58.7,-1.67,-0.98,6416046
成学社,東証JQS,サービス業,情報通信・サービスその他 ,10888,206,267,132,6829,2285,235,2123,5841,33.5,5.88,1.97,5876000
秀英予備校,東証1部,サービス業,情報通信・サービスその他 ,10927,265,199,353,13917,4643,2089,3843,3248,33.4,7.78,2.51,6710000
チャーム・ケア・コーポレーション,東証JQS,サービス業,情報通信・サービスその他 ,10930,891,843,536,13396,2160,192,6407,15210,16.1,28.21,4.31,6528000
佐渡汽船,東証JQS,海運業,運輸・物流 ,10959,-172,-305,-529,15858,2118,843,10788,3512,13.4,-22.17,-3.25,14275450
トーイン,東証JQS,その他製品,情報通信・サービスその他 ,10959,-104,-127,-16,16817,8615,2244,3390,3858,51.2,-0.19,-0.1,6377500
ベガコーポレーション,マザーズ,小売業,小売 ,10960,828,808,786,5336,3580,874,820,16717,67.1,27.49,16.9,10344800
森下仁丹,東証2部,医薬品,医薬品 ,10967,427,443,240,14320,9284,3537,1567,12388,64.8,2.61,1.72,20750000
プロルート丸光,東証JQS,卸売業,商社・卸売 ,11041,-17,-177,261,5490,1988,100,1767,4258,36.2,14.16,3.07,20473440
日本フエルト,東証1部,繊維製品,素材・化学 ,11080,638,794,504,22030,16077,2435,780,9961,73,3.21,2.29,19842089
国際計測器,東証JQS,精密機器,電機・精密 ,11088,959,957,547,16448,9758,1023,2207,16884,59.3,5.57,3.24,14200000
アピックヤマダ,東証2部,機械,機械 ,11098,397,396,335,12477,3695,5837,3744,7704,29.6,9.38,2.62,12969000
ユーグレナ,東証1部,食料品,食品 ,11103,693,944,673,15526,13392,4862,71,96457,86.3,5.17,4.48,84389616
丸千代山岡家,東証JQS,小売業,小売 ,11110,429,455,129,5144,1562,291,2499,2955,30.4,8.51,2.57,2469000
高見沢サイバネティックス,東証JQS,機械,機械 ,11128,140,113,19,14929,2693,700,5261,4208,18,0.71,0.13,9050000
アグレ都市デザイン,東証2部,不動産業,不動産 ,11134,709,612,422,9830,2159,381,6363,4078,22,21.25,5.21,2841600
東海汽船,東証2部,海運業,運輸・物流 ,11174,414,480,353,13366,4772,1100,5331,4585,35.7,7.6,2.59,2200000
沖電線,東証1部,非鉄金属,鉄鋼・非鉄 ,11176,760,765,536,15193,9849,4304,190,13491,64.8,5.56,3.64,38990870
トーアミ,東証2部,金属製品,建設・資材 ,11192,243,351,339,14606,11023,1290,1150,3501,75.5,3.12,2.31,6400000
FRONTEO,マザーズ,サービス業,情報通信・サービスその他 ,11207,-1206,-1254,-948,16158,4778,2481,7886,23453,29.6,-20.74,-6.52,38011862
インプレスホールディングス,東証1部,情報・通信業,情報通信・サービスその他 ,11280,-61,7,9,11287,6881,5341,911,5793,61,0.13,0.08,37371500
新日本建物,東証JQS,不動産業,不動産 ,11301,835,730,669,9964,3635,854,5703,4640,36.5,19.39,7.42,19914617
レイ,東証JQS,サービス業,情報通信・サービスその他 ,11314,363,353,217,8479,3727,471,1972,4485,44,5.95,2.57,14328976
タツモ,東証JQS,機械,機械 ,11329,1346,1397,1284,13918,4825,1627,2904,23500,34.7,30.33,10.25,11508300
田谷,東証1部,サービス業,情報通信・サービスその他 ,11401,28,-31,-177,6114,2598,1480,1499,3478,42.5,-6.59,-2.74,5100000
遠藤製作所,東証JQS,その他製品,情報通信・サービスその他 ,11426,1231,1327,1051,17718,13962,1241,1720,6014,78.8,7.72,5.96,9441800
スリープログループ,東証2部,サービス業,情報通信・サービスその他 ,11447,267,265,174,4607,2265,1006,655,7140,49.2,8.1,3.92,7126070
ホクシン,東証1部,その他製品,情報通信・サービスその他 ,11497,800,792,772,11820,4651,2343,3980,6072,39.3,18.1,6.73,28373005
セキ,東証JQS,その他製品,情報通信・サービスその他 ,11506,312,471,220,17246,13141,1201,1326,6604,76.2,1.69,1.32,4508000
ひらまつ,東証1部,小売業,小売 ,11507,1893,1911,1115,20143,4334,1213,13573,29843,21.5,24.23,6.32,48604200
日本精鉱,東証2部,非鉄金属,鉄鋼・非鉄 ,11511,966,955,644,10716,5754,1018,2570,8469,53.7,11.74,6.14,13029500
システムリサーチ,東証1部,情報・通信業,情報通信・サービスその他 ,11539,938,924,641,7653,4138,550,1620,9183,54.1,16.57,8.69,4180000
アカツキ,東証1部,情報・通信業,情報通信・サービスその他 ,11547,4751,4601,3291,16259,10521,2719,3175,126360,64.7,36.94,25.92,13601700
ジャパンベストレスキューシステム,東証1部,情報・通信業,情報通信・サービスその他 ,11552,823,878,27,12328,5439,779,858,14880,44.1,0.5,0.22,34685000
ロングライフホールディング,東証JQS,サービス業,情報通信・サービスその他 ,11571,528,449,219,14794,3173,100,4216,6155,21.4,6.94,1.59,11190400
ビーロット,マザーズ,不動産業,不動産 ,11626,1175,874,588,16625,2819,943,12995,11287,17,22.4,4.42,4001100
理研グリーン,東証JQS,卸売業,商社・卸売 ,11632,337,348,145,10463,5919,1102,870,2429,56.6,2.44,1.36,6691300
アドソル日進,東証1部,情報・通信業,情報通信・サービスその他 ,11634,767,777,531,5678,3054,523,150,10526,53.8,18.77,9.79,9298260
平山ホールディングス,東証JQS,精密機器,電機・精密 ,11642,39,87,147,5430,2181,419,1153,3148,40.2,6.82,2.96,1747200
京福電気鉄道,東証2部,陸運業,運輸・物流 ,11665,705,675,507,18867,5733,1000,7821,5780,30.4,9.24,2.73,20000000
文溪堂,名証2部,情報・通信業,情報通信・サービスその他 ,11667,593,624,420,16867,12330,1917,101,6085,73.1,3.44,2.49,6600000
こころネット,東証JQS,サービス業,情報通信・サービスその他 ,11670,885,1013,567,21043,8696,500,2378,4343,41.3,6.69,2.68,3843100
キング,東証1部,繊維製品,素材・化学 ,11679,798,1116,635,23694,20230,2346,410,11940,85.4,3.18,2.73,24771561
イチカワ,東証1部,繊維製品,素材・化学 ,11696,362,381,235,24964,18108,3594,360,8668,72.5,1.32,0.94,24835758
丸尾カルシウム,東証2部,化学,素材・化学 ,11807,569,691,497,14121,7580,871,1922,3501,53.7,6.96,3.64,2342000
構造計画研究所,東証JQS,情報・通信業,情報通信・サービスその他 ,11852,990,905,615,10482,3662,1010,2140,13555,34.9,18.09,5.87,6106000
ダイトーケミックス,東証2部,化学,素材・化学 ,11905,1156,1091,1545,15257,9425,2901,2865,8744,61.8,18.1,11.19,11400000
トランザクション,東証1部,その他製品,情報通信・サービスその他 ,11941,1045,1030,699,5974,3498,312,716,29246,58.6,21.57,12.41,28898800
ミロク,東証2部,その他製品,情報通信・サービスその他 ,11950,876,918,567,15546,11101,863,1000,8821,71.4,5.21,3.72,15027209
パラカ,東証1部,不動産業,不動産 ,12016,2397,2152,1397,25799,10464,1726,11670,25084,40.6,14.12,5.67,10139200
ソトー,東証1部,繊維製品,素材・化学 ,12054,454,668,539,18525,15667,3124,28,16135,84.6,3.47,2.93,13933757
サイオステクノロジー,東証2部,情報・通信業,情報通信・サービスその他 ,12080,474,389,254,5256,1619,1481,974,6576,30.8,16.96,4.66,8874400
オーバル,東証1部,精密機器,電機・精密 ,12094,384,418,271,20592,12492,2200,1745,7330,60.7,2.18,1.29,26180000
技研興業,東証2部,建設業,建設・資材 ,12154,586,589,374,11768,6900,1120,1568,7255,58.6,5.58,3.26,16640000
プロパティエージェント,東証JQS,不動産業,不動産 ,12166,1115,933,583,14649,3280,350,9268,5378,22.4,19.48,4.57,3338400
大泉製作所,マザーズ,電気機器,電機・精密 ,12181,599,398,262,8504,1406,1039,4027,10233,16.5,22.81,3.23,8367468
ミューチュアル,東証JQS,機械,機械 ,12219,1228,1263,798,13481,8408,669,126,6721,62.4,9.46,5.57,7620320
岡谷電機産業,東証1部,電気機器,電機・精密 ,12226,484,468,365,14449,9196,2295,1617,12928,63.6,4.11,2.66,22921562
ネクスグループ,東証JQS,電気機器,電機・精密 ,12231,-619,-770,-1068,13459,3594,1819,6277,6418,26.7,-26.12,-7.69,15030195
ワイヤレスゲート,東証1部,情報・通信業,情報通信・サービスその他 ,12239,1250,1098,693,6207,2967,871,1200,14339,47.8,24.52,11.45,10550800
ヤスハラケミカル,東証2部,化学,素材・化学 ,12247,1192,1245,832,21678,18103,1789,1079,8238,83.5,4.7,3.92,10839663
セレスポ,東証JQS,サービス業,情報通信・サービスその他 ,12272,575,592,378,7117,4599,1370,747,4072,64.6,8.49,5.48,2851750
エージーピー,東証JQS,倉庫・運輸関連業,運輸・物流 ,12291,1115,1132,754,13196,7737,2038,1266,11858,58.6,10.19,5.8,13950000
サンセイランディック,東証1部,不動産業,不動産 ,12300,1446,1328,853,10832,6852,720,2704,7595,63.3,13.24,7.67,8300800
元旦ビューティ工業,東証JQS,金属製品,建設・資材 ,12321,334,314,135,8409,3184,1266,1260,3272,37.9,4.37,1.62,7716063
リーバイ・ストラウス ジャパン,東証JQS,卸売業,商社・卸売 ,12339,480,506,479,4951,2055,5213,245,8801,41.5,26.39,9.63,28952000
アズマハウス,東証JQS,不動産業,不動産 ,12349,1563,1557,940,25612,13045,596,10787,6721,50.9,7.41,3.67,4031700
旭コンクリート工業,東証2部,ガラス・土石製品,建設・資材 ,12396,663,700,476,14704,9261,1204,1000,9144,63,5.3,3.28,13233000
東京汽船,東証2部,倉庫・運輸関連業,運輸・物流 ,12405,828,1146,989,26445,19543,500,1876,7608,73.9,5.17,3.81,10010000
兵機海運,東証2部,倉庫・運輸関連業,運輸・物流 ,12471,194,196,153,10344,1996,612,6589,2142,19.3,8.17,1.43,12240000
アメイズ,福証,サービス業,情報通信・サービスその他 ,12487,2271,1817,1033,27591,7183,1299,10452,19917,26,15.15,3.91,15204000
日本電子材料,東証1部,電気機器,電機・精密 ,12489,112,129,78,16845,10416,983,2581,6967,61.8,0.74,0.47,10604880
ムーンバット,東証2部,卸売業,商社・卸売 ,12495,669,626,470,12683,8440,3339,1357,4861,66.5,5.7,3.72,5341733
南総通運,東証JQS,陸運業,運輸・物流 ,12502,1414,1391,908,26682,15983,538,7283,5500,59.9,5.84,3.46,5000000
住石ホールディングス,東証1部,鉱業,エネルギー資源 ,12548,134,507,323,16359,10861,2501,2690,6596,66.4,3.02,1.96,58892853
ハビックス,東証JQS,パルプ・紙,素材・化学 ,12555,1440,1457,1044,13345,6863,593,2890,8887,51.4,16.38,8.25,8175280
うかい,東証JQS,小売業,小売 ,12572,454,415,240,10588,4778,1291,2559,16834,45.1,5.13,2.26,5235940
知多鋼業,名証2部,金属製品,建設・資材 ,12594,1330,1644,1108,19301,13942,819,1520,8082,72.2,8.44,6.12,9621550
